City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Acarau,BR,2021-02-04 15:58:36,-2.8856,-40.12,87.87,55,98,18.23
125,Changji,CN,2021-02-04 15:58:37,44.0167,87.3167,12.2,85,27,2.24
126,San Rafael,AR,2021-02-04 15:58:37,-34.6177,-68.3301,81.01,19,1,4.72
127,Dwarka,IN,2021-02-04 15:58:37,22.2394,68.9678,70.0,72,0,10.13
128,Ancud,CL,2021-02-04 15:58:37,-41.8697,-73.8203,77.0,57,0,10.36
129,Cabo San Lucas,MX,2021-02-04 15:55:10,22.8909,-109.9124,69.8,40,1,5.39
130,Yulara,AU,2021-02-04 15:58:37,-25.2406,130.9889,71.6,68,75,14.97
131,Paamiut,GL,2021-02-04 15:58:37,61.994,-49.6678,14.07,79,0,8.77
132,Bengkulu,ID,2021-02-04 15:58:38,-3.8004,102.2655,76.24,87,100,4.41
133,Road Town,VG,2021-02-04 15:58:38,18.4167,-64.6167,82.4,74,40,10.36
134,Hobart,AU,2021-02-04 15:57:00,-42.8794,147.3294,66.0,72,99,1.14
135,Wajima,JP,2021-02-04 15:58:38,37.4,136.9,35.69,82,94,10.92
136,Tungor,RU,2021-02-04 15:58:38,53.3808,142.9564,-12.98,88,100,17.31
137,Aleksandrovsk-Sakhalinskiy,RU,2021-02-04 15:58:39,50.8975,142.1561,-15.68,84,70,6.62
138,Clyde River,CA,2021-02-04 15:57:31,70.4692,-68.5914,-23.8,76,75,6.91
139,San-Pedro,CI,2021-02-04 15:58:39,4.7485,-6.6363,83.21,76,25,8.61
140,Mareeba,AU,2021-02-04 15:58:39,-17.0,145.4333,78.8,83,100,1.14
141,Coquimbo,CL,2021-02-04 15:58:40,-29.9533,-71.3436,62.6,77,75,6.91
142,Bend,US,2021-02-04 15:58:40,44.0582,-121.3153,26.6,74,1,10.36
143,Dikson,RU,2021-02-04 15:58:40,73.5069,80.5464,-9.69,92,100,10.83
144,Mae Sot,TH,2021-02-04 15:58:40,16.7167,98.5667,72.25,53,4,1.57
145,Kodiak,US,2021-02-04 15:58:14,57.79,-152.4072,19.4,86,1,5.75
146,Boa Vista,BR,2021-02-04 15:53:42,2.8197,-60.6733,82.4,74,90,5.75
147,East London,ZA,2021-02-04 15:58:40,-33.0153,27.9116,73.4,78,75,9.22
148,Saskylakh,RU,2021-02-04 15:58:40,71.9167,114.0833,-41.96,75,0,5.23
149,Launceston,AU,2021-02-04 15:58:41,-41.45,147.1667,64.0,72,89,5.75
150,Vanavara,RU,2021-02-04 15:58:41,60.34,102.2797,-10.59,90,93,2.59
151,Laguna,US,2021-02-04 15:58:41,38.421,-121.4238,39.99,75,1,6.91
152,Praia Da Vitoria,PT,2021-02-04 15:58:41,38.7333,-27.0667,55.99,71,75,27.69
153,Salgado,BR,2021-02-04 15:58:41,-11.0319,-37.475,86.0,62,20,12.66
154,Revelstoke,CA,2021-02-04 15:58:41,50.9832,-118.2023,30.2,93,90,2.15
155,Santa Maria,BR,2021-02-04 15:58:16,-29.6842,-53.8069,77.0,65,75,10.36
156,Codrington,AU,2021-02-04 15:58:42,-38.2667,141.9667,69.87,46,100,13.2
157,Samarai,PG,2021-02-04 15:58:42,-10.6167,150.6667,80.78,79,2,6.17
158,Hasaki,JP,2021-02-04 15:58:42,35.7333,140.8333,30.2,69,0,3.44
