City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
417,Ukiah,US,42.01,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
418,North Bend,US,44.6,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
425,Neuquen,AR,64.4,overcast clouds,-38.9516,-68.0591,Hotel del Comahue
426,Ashdod,IL,62.6,clear sky,31.8167,34.65,West All Suite Hotel Ashdod - מלון ווסט אשדוד
428,Amnat Charoen,TH,71.8,few clouds,15.9167,104.75,หอพักนักศึกษา
433,Ken Caryl,US,48.0,clear sky,39.5773,-105.1169,Hampton Inn & Suites Denver Littleton
434,Tres Rios,BR,69.01,overcast clouds,-22.1167,-43.2092,Hotel Olivier
435,Vidalia,US,46.4,overcast clouds,32.2177,-82.4135,Quality Inn & Suites
436,Jacksonville,US,63.0,broken clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
440,Ahuimanu,US,64.0,clear sky,21.4447,-157.8378,Paradise Bay Resort
443,Antofagasta,CL,75.0,clear sky,-23.65,-70.4,Holiday Inn Express Antofagasta
444,Tres Arroyos,AR,70.38,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
446,Viedma,AR,66.99,broken clouds,-40.8135,-62.9967,Hotel Cristal
448,Kapit,MY,74.12,moderate rain,2.0167,112.9333,Hotel Meligai Kapit
450,Baoning,CN,60.8,broken clouds,25.3378,110.02600000000001,
453,Masunga,BW,68.0,moderate rain,-20.6246,27.4488,
459,Sora,IT,55.0,light rain,41.7157,13.6141,Hotel Valentino
467,Turkistan,KZ,46.92,overcast clouds,43.0,68.0,
474,Goksun,TR,57.2,scattered clouds,38.021,36.4973,Tuğçe Otel
475,Phayao,TH,71.01,scattered clouds,19.25,100.25,chuthagarden
481,Pandharpur,IN,74.88,clear sky,17.6667,75.3333,Pandharinath Lodge and Restaurant
484,Guerrero Negro,MX,64.74,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
487,Coria,ES,48.0,overcast clouds,39.9879,-6.5377,Hotel San Cristóbal
488,Dali,CN,43.5,few clouds,25.7,100.1833,Dali Travelling With Hostel
490,Mizdah,LY,70.52,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
492,Ulladulla,AU,66.2,broken clouds,-35.35,150.4667,Sandpiper Motel
495,Chadiza,ZM,69.71,light rain,-14.0678,32.4392,Sankhani Lodge
499,Mindelo,CV,73.4,broken clouds,16.8901,-24.9804,Hotel Gaudi
503,Shingu,JP,42.28,clear sky,33.7333,135.9833,Shingu UI Hotel
504,Surt,LY,73.24,overcast clouds,31.2089,16.5887,الهادي ابوشعاله سرت
505,Shiyan,CN,46.02,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
508,Jhelum,PK,58.46,clear sky,32.9331,73.7264,Tulip Riverside Hotel And Restaurant Jehlum
512,Baghdad,IQ,60.8,clear sky,33.3406,44.4009,Baghdad Hotel
516,Nyimba,ZM,73.51,light rain,-14.5566,30.8149,Dali Dali Lodge
518,Marzuq,YE,63.5,clear sky,14.4,46.4667,
519,Ellisras,ZA,70.59,overcast clouds,-23.6649,27.7443,Lapa le le guesthouse
523,Keti Bandar,PK,68.14,clear sky,24.1447,67.4497,Haji laloo memon house
529,Menongue,AO,71.17,overcast clouds,-14.6585,17.691,Ritz Lauca
532,Biarritz,FR,51.8,broken clouds,43.4801,-1.5556,Hôtel de l'ocean
535,Gerash,IR,64.4,scattered clouds,27.6652,54.1371,Sa'adat House
537,Esperance,AU,64.4,scattered clouds,-33.8667,121.9,Hospitality Esperance
538,Broken Hill,AU,66.2,clear sky,-31.95,141.4333,Royal Exchange Hotel
541,Le Pont-De-Claix,FR,42.8,broken clouds,45.1244,5.7064,PoMo Hotel & Restaurant
548,Shenzhen,CN,69.01,clear sky,22.5455,114.0683,Shun Hing Square
552,Lagoa,PT,58.12,overcast clouds,39.05,-27.9833,Casa Das Faias
558,Sale,MA,61.0,scattered clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
561,Belvedere Marittimo,IT,56.12,light rain,39.6179,15.8617,La Marinella
563,Praia,CV,73.4,broken clouds,14.9215,-23.5087,LT Aparthotel
565,Abu Kamal,SY,60.26,clear sky,34.4506,40.9171,محطة التلفاز
566,Gainesville,US,63.0,overcast clouds,29.6516,-82.3248,Wyndham Garden Gainesville
567,Port Pirie,AU,64.4,clear sky,-33.1833,138.0167,John Pirie Motor Inn
568,Akdepe,TM,50.0,overcast clouds,42.0551,59.3788,Мой дом
569,Vila Velha,BR,70.0,mist,-20.3297,-40.2925,Hotel Vitória Palace
583,Bukama,CD,73.49,light rain,-9.2,25.85,
585,Areosa,PT,51.01,mist,41.7178,-8.8571,Hotel Flôr de Sal
588,Langarud,IR,53.6,mist,37.196999999999996,50.1535,ستاد اسکان فرهنگیان لنگرود
591,Grenfell,AU,63.77,overcast clouds,-33.9,148.1667,Grenfell Royal Hotel
594,Ruteng,ID,62.8,overcast clouds,-8.6136,120.4721,Hotel FX72 Ruteng
595,Mineral Wells,US,48.0,overcast clouds,32.8085,-98.1128,The Baker Hotel and Spa
597,Guiyang,CN,48.2,light rain,26.5833,106.7167,Guo Tai Hotel Guiyang
599,Abu Samrah,SY,55.71,clear sky,35.3029,37.1841,
600,Waipawa,NZ,62.6,broken clouds,-41.4122,175.5153,Tora Coastal Walk
603,Coquimbo,CL,68.0,scattered clouds,-29.9533,-71.3436,Hotel San Juan
606,Dedza,MW,63.16,moderate rain,-14.3779,34.3332,Kapeleta Dedza Estates
609,Ormara,PK,69.64,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
611,Taupo,NZ,55.99,overcast clouds,-38.6833,176.0833,Lake Taupo Motor Inn
618,Rawson,AR,61.09,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
621,Ozuluama,MX,72.63,scattered clouds,21.6667,-97.85,Hotel Posada De La Roma
630,Lasa,IT,41.0,mist,46.6166,10.7002,Pension Feldgärtenhof
632,Todos Santos,MX,70.0,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
633,Buraydah,SA,57.2,broken clouds,26.326,43.975,Mövenpick Hotel Qassim
636,Tupiza,BO,68.65,broken clouds,-21.45,-65.7167,La Torre Hotel
643,San Marcos,US,57.2,clear sky,33.1434,-117.1661,Hampton Inn San Marcos
651,Heyang,CN,53.94,moderate rain,26.1011,107.473,
654,Kalengwa,ZM,70.52,moderate rain,-13.4659,25.0027,
656,Perth,AU,66.99,broken clouds,-31.9333,115.8333,Parmelia Hilton Perth
658,Jijiga,ET,62.28,scattered clouds,9.35,42.8,RAMAAS HOTEL
661,Porto Empedocle,IT,57.0,broken clouds,37.2934,13.5264,Hotel dei Pini
662,Gushikawa,JP,62.6,clear sky,26.3544,127.8686,Kirari Guest House
668,Morros,BR,73.42,overcast clouds,-9.4467,-46.3003,
671,Naze,JP,57.9,clear sky,28.3667,129.4833,奄美ポートタワーホテル
676,Neftcala,AZ,46.9,clear sky,39.3742,49.2472,Otel restoran
681,Constitucion,CL,66.51,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
683,Nador,MA,59.0,broken clouds,35.174,-2.9287,Hôtel La Giralda
685,Greeley,US,44.01,clear sky,40.4233,-104.7091,Fairfield Inn & Suites by Marriott Greeley
