City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Esmeralda,CU,21.8525,-78.1169,86.0,54,20,2.3,few clouds
223,Narsaq,GL,60.9167,-46.05,39.2,33,20,49.48,few clouds
224,Karratha,AU,-20.7377,116.8463,79.3,68,9,10.49,clear sky
225,Cazzago San Martino,IT,45.5938,10.0419,51.01,84,100,1.77,overcast clouds
226,Huilong,CN,31.8111,121.655,51.01,78,97,5.99,light rain
227,Karwar,IN,14.8,74.1333,75.96,52,0,6.73,clear sky
228,Kuminskiy,RU,58.6667,66.5667,2.7,92,100,14.5,overcast clouds
229,Port-Gentil,GA,-0.7193,8.7815,80.6,78,40,4.61,scattered clouds
230,Ostersund,SE,63.1792,14.6357,15.8,92,90,9.22,overcast clouds
231,Mercedes,AR,-34.6515,-59.4307,87.01,38,0,4.0,clear sky
232,Manggar,ID,-2.8833,108.2667,79.9,81,85,12.8,overcast clouds
233,Wanning,CN,18.8003,110.3967,69.28,88,29,4.7,scattered clouds
234,Awjilah,LY,29.1081,21.2869,70.52,23,80,11.54,broken clouds
235,Batagay,RU,67.6333,134.6333,-30.93,82,0,1.66,clear sky
236,Dunedin,NZ,-45.8742,170.5036,57.99,91,47,5.01,scattered clouds
237,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,63,75,11.5,broken clouds
238,Saint-Francois,FR,46.4154,3.9054,44.6,65,90,6.91,overcast clouds
239,Shreveport,US,32.5251,-93.7502,44.6,75,90,8.05,overcast clouds
240,Seydisehir,TR,37.4193,31.8453,47.71,64,72,4.54,broken clouds
241,Sao Filipe,CV,14.8961,-24.4956,71.33,67,68,10.4,broken clouds
242,Kolodeznyy,RU,51.3333,39.1833,5.0,66,0,11.18,clear sky
243,Rongcheng,CN,30.634,117.8517,50.7,82,100,8.81,light rain
244,San Andres,CO,12.5847,-81.7006,84.2,65,20,16.11,few clouds
245,Vardo,NO,70.3705,31.1107,24.8,74,75,28.77,snow
246,Sitka,US,57.0531,-135.33,28.4,64,75,3.44,broken clouds
247,Tessalit,ML,20.1986,1.0114,76.8,18,98,11.32,overcast clouds
248,Prado,BR,-17.3411,-39.2208,82.42,81,55,10.6,light rain
249,Moose Factory,CA,51.2585,-80.6094,-7.6,70,75,5.75,broken clouds
250,Pella,RU,59.7775,30.8181,15.8,92,75,11.18,light snow
251,Callaway,US,30.153,-85.5699,51.01,87,90,13.8,light intensity drizzle
252,Plettenberg Bay,ZA,-34.0527,23.3716,66.31,75,98,6.38,overcast clouds
253,Piacabucu,BR,-10.4056,-36.4344,85.77,62,86,15.1,overcast clouds
254,Belaya Gora,RU,68.5333,146.4167,-28.59,83,42,4.29,scattered clouds
255,Maun,BW,-19.9833,23.4167,73.4,100,75,11.5,broken clouds
256,Cervo,ES,43.6702,-7.4101,55.0,77,100,8.99,overcast clouds
257,Acu,BR,-5.5767,-36.9086,98.6,36,40,9.22,scattered clouds
258,Aykhal,RU,66.0,111.5,-24.63,83,100,5.32,overcast clouds
259,Nabinagar,BD,23.8917,90.9733,68.0,68,40,11.5,haze
260,Martapura,ID,-3.4167,114.85,77.0,94,75,3.44,broken clouds
261,Yantal,RU,56.8471,105.2542,21.79,96,100,6.85,overcast clouds
262,Henties Bay,NA,-22.116,14.2845,66.0,85,74,3.0,broken clouds
263,Pecsvarad,HU,46.1603,18.4232,48.2,87,90,8.05,overcast clouds
264,Samana,DO,19.2056,-69.3369,80.6,83,20,6.91,few clouds
265,Severo-Kurilsk,RU,50.6789,156.125,19.8,89,94,18.63,overcast clouds
266,Tibiri,NE,13.5627,7.0485,89.6,7,0,11.5,clear sky
267,Mangrol,IN,21.1167,70.1167,71.2,57,0,4.16,clear sky
268,Shangrao,CN,28.4532,117.9686,60.44,79,87,2.95,overcast clouds
269,Baculin,PH,7.4525,126.5842,76.73,87,100,4.94,overcast clouds
270,Madimba,TZ,-10.4,40.3333,82.4,83,40,11.5,scattered clouds
271,Kahului,US,20.8947,-156.47,64.0,77,20,4.61,few clouds
272,Poum,NC,-20.2333,164.0167,79.63,70,94,1.66,overcast clouds
